 ADC      ;   arg, arg ; "ADC"
 ADD      ;   arg, arg ; "ADD"
 AND      ;   arg      ; "AND"
 BIT      ;   arg, arg ; "BIT"
 CALL     ;   arg      ; "CALL"
 CALL     ;   arg, arg ; "CALL"
 CCF      ;            ; "CCF"
 CP       ;   arg      ; "CP"
 CPD      ;            ; "CPD"
 CPDR     ;            ; "CPDR"
 CPI      ;            ; "CPI"
 CPIR     ;            ; "CPIR"
 CPL      ;            ; "CPL"
 DAA      ;            ; "DAA"
 DEC      ;   arg      ; "DEC"
 DI       ;            ; "DI"
 DJNZ     ;   arg      ; "DJNZ"
 EI       ;            ; "EI"
 EX       ;   arg, arg ; "EX"
 EXX      ;            ; "EXX"
 HALT     ;            ; "HALT"
 IM       ;   arg      ; "IM"
 IN       ;   arg, arg ; "IN"
 INC      ;   arg      ; "INC"
 IND      ;            ; "IND"
 INDR     ;            ; "INDR"
 INI      ;            ; "INI"
 INIR     ;            ; "INIR"
 JP       ;   arg      ; "JP"
 JP       ;   arg, arg ; "JP"
 JR       ;   arg      ; "JR"
 JR       ;   arg, arg ; "JR"
 LD       ;   arg, arg ; "LD"
 LDD      ;            ; "LDD"
 LDDR     ;            ; "LDDR"
 LDI      ;            ; "LDI"
 LDIR     ;            ; "LDIR"
 NEG      ;            ; "NEG"
 NOP      ;            ; "NOP"
 OR       ;   arg      ; "OR"
 OTDR     ;            ; "OTDR"
 OTIR     ;            ; "OTIR"
 OUT      ;   arg, arg ; "OUT"
 OUTD     ;            ; "OUTD"
 OUTI     ;            ; "OUTI"
 POP      ;   arg      ; "POP"
 PUSH     ;   arg      ; "PUSH"
 RES      ;   arg, arg ; "RES"
 RET      ;            ; "RET"
 RET      ;   arg      ; "RET"
 RETI     ;            ; "RETI"
 RETN     ;            ; "RETN"
 RL       ;   arg      ; "RL"
 RLA      ;            ; "RLA"
 RLC      ;   arg      ; "RLC"
 RLCA     ;            ; "RLCA"
 RLD      ;            ; "RLD"
 RR       ;   arg      ; "RR"
 RRA      ;            ; "RRA"
 RRC      ;   arg      ; "RRC"
 RRD      ;            ; "RRCA"
 RRCA     ;            ; "RRD"
 RST      ;   arg      ; "RST"
 SBC      ;   arg      ; "SBC"
 SBC      ;   arg, arg ; "SBC"
 SCF      ;            ; "SCF"
 SET      ;   arg, arg ; "SET"
 SLA      ;   arg      ; "SLA"
 SRA      ;   arg      ; "SRA"
 SRL      ;   arg      ; "SRL"
 SUB      ;   arg      ; "SUB"
 XOR      ;   arg      ; "XOR"
